Unit	Greek (full — Bekker text)	Arabic (full — Tkatsch)	Gk:Ar	Align.	Rendering	Concern / note
7.7	Ὥστε δεῖ καθάπερ ἐπὶ τῶν σωμάτων καὶ ἐπὶ τῶν ζῴων ἔχειν μὲν μέγεθος, τοῦτο δὲ εὐσύνοπτον εἶναι, οὕτω καὶ ἐπὶ τῶν μύθων ἔχειν μὲν μῆκος, τοῦτο δ᾿ εὐμνημόνευτον εἶναι.	‏حتى يكون كما يجٮ على الاجسام وعلى الحيوان ان يكون عظم ما وهذا نفسه يكون سهل البيان وبهذا نفسه يكون فى الخرافة ايضا طول ويكون محفوظ فى الذكر	1:1	High	Clean	eusynopton=sahl al-bayān; eumnemoneuton=maḥfūẓ fī l-dhikr
7.8	Τοῦ δὲ μήκους ὅρος πρὸς μὲν τοὺς ἀγῶνας καὶ τὴν αἴσθησιν οὐ τῆς τέχνης ἐστίν· εἰ γὰρ ἔδει ἑκατὸν τραγῳδίας ἀγωνίζεσθαι, πρὸς κλεψύδραν ἂν ἠγωνίζοντο, ὥσπερ ποτὲ καὶ ἄλλοτε φασίν.	‏واما لطول نفسه فحده نحو الجهاد والاحساس الذى للصناعة وذلك انه ان كان كل واحد من الناس قد كان يجب ان يعمل بالمديح الجهاد نحو ثلاث ساعات الما لقد كان يستعمل الجهاد قلافسودرا كما من عادتنا ان نقول فى زمان ما	1:1	High	Severe	klepsydra=qalāfsūdrā; ἑκατὸν τραγῳδίας ('100 tragedies') → 'three hours'(?)
7.9	Ὁ δὲ κατ᾿ αὐτὴν τὴν φύσιν τοῦ πράγματος ὅρος, ἀεὶ μὲν ὁ μείζων μέχρι τοῦ σύνδηλος εἶναι καλλίων ἐστὶ κατὰ τὸ μέγεθος, ὡς δὲ ἁπλῶς διορίσαντας εἰπεῖν, ἐν ὅσῳ μεγέθει κατὰ τὸ εἰκὸς ἢ τὸ ἀναγκαῖον ἐφεξῆς γιγνομένων συμβαίνει εἰς εὐτυχίαν ἐκ δυστυχίας ἢ ἐξ εὐτυχίας εἰς δυστυχίαν μεταβάλλειν, ἱκανὸς ὅρος ἐστὶ τοῦ μεγέθους.	‏ومتى ولما كان الطبيعة الامور قد يظن انه يوجد الى ان يظهر كان هذا من الافضل فى العظم وكما حدوا على الاطلاق وقالوا فى كم من العظم على الحقيقة او تلك تدعوا الضرورة عند ما تكون فى هذه التى تكون على الاضطرار واحد فى اثر الاخر تنوب عند النجاح الكاين بعد رداوة البخت او تغير رداوة البخت الى الصلاح يكون العظم حد كافى	1:1	High	Moderate	eutychia/dystychia=najāḥ/radāʾat al-bakht
— CHAPTER 8  (Greek 5 · Arabic 5 units) —						
8.1	Μῦθος δ᾿ ἐστὶν εἷς, οὐχ ὥσπερ τινὲς οἴονται, ἐὰν περὶ ἕνα ᾖ· πολλὰ γὰρ καὶ ἄπειρα τῷ γένει συμβαίνει, ἐξ ὧν ἐνίων οὐδέν ἐστιν ἕν.	‏والحرافة وحكاية الحديث فليست كما ظن قوم انها ان كانت الى الواحد وذلك ان اشيا كثيرة بلا نهاية تعرض لواحد وهذه للبعض والافراد وليس شى واحد	1:1	High	Moderate	unity of plot
8.2	Οὕτω δὲ καὶ πράξεις ἑνὸς πολλαί εἰσιν, ἐξ ὧν μία οὐδεμία γίνεται πρᾶξις.	‏وكذلك قد تكن اعمال كثيرة هى لواحد وهذه لا يكون ولا واحد منها عمل واحد	1:1	High	Clean	
8.3	Διὸ πάντες ἐοίκασιν ἁμαρτάνειν, ὅσοι τῶν ποιητῶν Ἡρακληΐδα καὶ θησηΐδα καὶ τὰ τοιαῦτα ποιήματα πεποιήκασιν· οἴονται γὰρ ἐπεὶ εἷς ἦν ὁ Ἡρακλῆς, ἕνα καὶ τὸν μῦθον εἶναι προσήκειν.	‏ولذلك قد يشبه ان يكون ان جميع الشعرا الايرقليدا والمعروفين بثسيدا والذين عملوا مثل هذه الاشعار وذلك انهم يظنون انه كان ايرقلس قد كان واحدا ان يكون الخرافة حكاية الحديث قد كانت واحدة	1:1	High	Moderate	Herakles=ايرقلس; Herakleis=ايرقليدا; Theseis=ثسيدا
8.4	Ὁ δ᾿ Ὅμηρος, ὥσπερ καὶ τὰ ἄλλα διαφέρει, καὶ τοῦτ᾿ ἔοικε καλῶς ἰδεῖν, ἤτοι διὰ τέχνην ἢ διὰ φύσιν· Ὀδύσσειαν γὰρ ποιῶν οὐκ ἐποίησεν ἅπαντα ὅσα αὐτῷ συνέβη, οἶον πληγῆναι μὲν ἐν τῷ Παρνασσῷ, μανῆναι δὲ προσποιήσασθαι ἐν τῷ ἀγερμῷ, ὧν οὐδὲν θατέρου γενομένου ἀναγκαῖον ἦν ἢ εἰκὸς θάτερον γενέσθαι, ἀλλὰ περὶ μίαν πρᾶξιν, οἵαν λέγομεν, τὴν Ὀδύσσειαν συνέστησεν, ὁμοίως δὲ καὶ τὴν Ἰλιάδα.	‏واما اوميروس فانه كما انه بينه وبينهم فرق فى اشيا اخر وهذا يشبه ان يكون فى نظره نظرا جيدا اما بسبب الصناعة واما من اجل الطبيعة وذلك انه لما دون امر اودوسيا لم يثبت كل ما عرض لاودوسوس بمنزلة الضربة وهذه [و]الشرور والغير التى كانت فى فارناوسوس والسخط الذى سخطوا عليه فى الحرب الذى كان عند اغارومس ولا ايضا كل واحد واحد من الاشيا عرضت مما كانت الضرورة تدعوا الى ان يثبت فى المٮال لكن ما دونه بان قصد به نحو عمل واحد وهو المسمى اودوسيا المنسوب الى اودوسوس وكذلك فعل فى ما دونه من امر ايليادا	1:1	High	Moderate	Parnassos=فارناوسوس; agermos=اغارومس; Odyssey/Iliad present
8.5	Χρὴ οὖν, καθάπερ καὶ ἐν ταῖς ἄλλαις μιμητικαῖς ἡ μία μίμησις ἑνός ἐστιν, οὕτω καὶ τὸν μῦθον, ἐπεὶ πράξεως μίμησίς ἐστι, μιᾶς τε εἶναι καὶ ταύτης ὅλης, καὶ τὰ μέρη συνεστάναι τῶν πραγμάτων οὕτως ὥστε μετατιθεμένου τινὸς μέρους ἢ ἀφαιρουμένου διαφέρεσθαι καὶ κινεῖσθαι τὸ ὅλον· ὃ γὰρ προσὸν ἢ μὴ προσὸν μηδὲν ποιεῖ ἐπίδηλον, οὐδὲ μόριον τοῦ ὅλου ἐστίν.	‏فقد يجب اذا ان التشبهات والمحاكات الاخر ان يكون التشبيه والحماكاة الواحدة لواحد وكذلك الخرافة فى العمل هى تشبيه ومحاكاة واحدة لواحد وهذا كله الاجزا ايضا تقوم الامور هكذى حتى اذا نقل الانسان جزو ما او دفع يفسد ويتشوش ويضطرب كله باسره وذلك ان ما هو قريب ان لم يقرب لم يفعل شيا ويبلغ ان يكون كله نحو لا شى هو جزو للكل نفسه	1:1	High	Moderate	organic unity: removing a part disturbs the whole
— CHAPTER 9  (Greek 16 · Arabic 16 units) —						
9.1	Φανερὸν δὲ ἐκ τῶν εἰρημένων καὶ ὅτι οὐ τὸ τὰ γενόμενα λέγειν, τοῦτο ποιητοῦ ἔργον ἐστίν, ἀλλ᾿ οἷα ἂν γένοιτο, καὶ τὰ δυνατὰ κατὰ τὸ εἰκὸς ἢ τὸ ἀναγκαῖον.	‏وظاهر مما قيل ان التى كانت مثلا ليست من فعل الشاعر لكن ذلك انما فى مثل اى شى يكون اما ما هو الممكن من ذلك على الحقيقة واما التى تدعوا الضرورة اليه	1:1	High	Moderate	poet says not what happened but what could, per probability/necessity
9.2	Ὁ γὰρ ἱστορικὸς καὶ ὁ ποιητὴς οὐ τῷ ἢ ἔμμετρα λέγειν ἢ ἄμετρα διαφέρουσιν· εἴη γὰρ ἂν τὰ Ἡροδότου εἰς μέτρα τεθῆναι, καὶ οὐδὲν ἧττον ἂν εἴη ἱστορία τις μετὰ μέτρου ἢ ἄνευ μέτρων· ἀλλὰ τούτῳ διαφέρει, τῷ τὸν μὲν τὰ γενόμενα λέγειν, τὸν δὲ οἷα ἂν γένοιτο.	‏وذلك ان الذى يثبت الاحاديث والقصص والشاعر ايضا وان كانا يتكلمان هكذى بالوزن وبغير وزن هما مختلفان وذلك ان لايرودوطس ان يكون بالوزن وليس لما يدون ويكتب ان يكون مع الوزن او بغير وزن باقل لكن هذا يخالف بان ذاك يقول الى تقال واما هذا فاى الاشيا كانت	1:1	High	Moderate	Herodotus=ايرودوطس; historian vs poet
9.3	Διὸ καὶ φιλοσοφώτερον καὶ σπουδαιότερον ποίησις ἱστορίας ἐστίν· ἡ μὲν γὰρ ποίησις μᾶλλον τὰ καθόλου, ἡ δ᾿ ἱστορία τὰ καθ᾿ ἕκαστον λέγει.	‏ولذلك صارت صناعة الشعر هى اكثر فلسفية واكثر فى باب ما هى حريصة من ايسطوريا الامور من قبل ان صناعة الشعر هى كلية اكثر واما ايسطوريا فانما تقول وتخبر بالجزويات	1:1	High	Moderate	historia=ايسطوريا; poetry=more philosophical/universal
9.4	Ἔστι δὲ καθόλου μέν, τῷ ποίῳ τὰ ποῖ᾿ ἄττα συμβαίνει λέγειν ἢ πράττειν κατὰ τὸ εἰκὸς ἢ τὸ ἀναγκαῖον, οὗ στοχάζεται ἡ ποίησις ὀνόματα ἐπιτιθεμένη· τὰ δὲ καθ᾿ ἕκαστον, τί Ἀλκιβιάδης ἔπραξεν ἢ τί ἔπαθεν.	‏وهى بالكلية والتى فى الكيفية والمكيفيات كل التى كانها تعرض ان تقال او تعمل اما التى بالحقيقة واما التى هى ضرورية كالتوهم الذى يكون فى صناعة الشعر عند ما تكون صناعة الشعر نفسها تضع الاسما [فى] فالوحيدات والجزويات مثلا هى ان يقال ماذا فعل الفسادس اما الذى انفعل	1:1	Medium	Moderate	Alkibiades=الفسادس (garbled)
9.5	Ἐπὶ μὲν οὖν τῆς κωμῳδίας ἤδη τοῦτο δῆλον γέγονεν· συστήσαντες γὰρ τὸν μῦθον διὰ τῶν εἰκότων οὕτω τὰ τυχόντα ὀνόματα ἐπιτιθέασι, καὶ οὐχ ὥσπερ οἱ ἰαμβοποιοὶ περὶ τῶν καθ᾿ ἕκαστον ποιοῦσιν.	‏ففى التى تقال بصناعة الهجا فهذا قد ظهر هذا وذلك انه عند ما ركبوا الخرافة بالتى كانت تجب ليس اى الاسما التى كانوا وضعوا ولا كما يعملون عند الوحيدات والجزويات الذى فى ايامبو	1:1	High	Moderate	comedy→hijāʾ; iambopoioi=ايامبو
9.6	Ἐπὶ δὲ τῆς τραγῳδίας τῶν γενομένων ὀνομάτων ἀντέχονται.	‏من قبل ان فى صناعة المديح كانوا يتمسكون بالاسما التى كانت	1:1	High	Moderate	tragedy→madīḥ; keeps received names
9.7	Αἴτιον δ᾿ ὅτι πιθανόν ἐστι τὸ δυνατόν· τὰ μὲν οὖν μὴ γενόμενα οὔπω πιστεύομεν εἶναι δυνατά, τὰ δὲ γενόμενα φανερὸν ὅτι δυνατά· οὐ γὰρ ἂν ἐγένετο, εἰ ἦν ἀδύνατα.	‏والسبب فى هذا هو ان الحال الممكنة هى مقنعة والتى لم تكن بعد فلسنا نصدق انها يمكن ان تكون واما التى قد كانت توجد ان كان قد كانت موجودة فلا يمكن الا تكون	1:1	High	Clean	the possible is persuasive
9.8	Οὐ μὴν ἀλλὰ καὶ ἐν ταῖς τραγῳδίαις ἐνίαις μὲν ἓν ἢ δύο τῶν γνωρίμων ἐστὶν ὀνομάτων, τὰ δὲ ἄλλα πεποιημένα, ἐν ἐνίαις δὲ οὐθέν, οἷον ἐν τῷ Ἀγάθωνος ἄνθει· ὁμοίως γὰρ ἐν τούτῳ τά τε πράγματα καὶ τὰ ὀνόματα πεποίηται, καὶ οὐδὲν ἧττον εὐφραίνει.	‏وليس ذلك الا فى المدايح الافراد والبعض وهى التى منها فى الواحدة اثنتين من التى هى من الذين هم معروفون هو لهذه التى فعل لاشيا اخر اسم واحد واما فى الافراد والبعض فولا شى	1:1	Low	Severe	Agathon's Antheus dropped/garbled; corrupt
9.9	Ὥστ᾿ οὐ πάντως εἶναι ζητητέον τῶν παραδεδομένων μύθων, περὶ οὓς αἱ τραγῳδίαι εἰσίν, ἀντέχεσθαι.	‏بمنزلة من يضع ان الخير هو واحد وان فى ذلك الامر والاسم انفعالا او فعلا على مثال واحـ*و*ٮس الانتفاع بهما بالاقل حتى لا ينبغى ان نطلب لا محالة المفيد للخرافات التى تكون نحوها المدايح ان يوجد بها	1:1	Medium	Severe	'no need to cling to traditional plots' partly recoverable; garbled
9.10	Καὶ γὰρ γελοῖον τοῦτο ζητεῖν, ἐπεὶ καὶ τὰ γνώριμα ὀλίγοις γνώριμά ἐστιν, ἀλλ᾿ ὅμως εὐφραίνει πάντας.	‏وذلك ان الطلب لهذا هو مما يضحك منه من قبل ان الدلايل موجودة غير ان تسر الكل	1:1	High	Moderate	gnōrima→dalāʾil(?)
9.11	Δῆλον οὖν ἐκ τούτων ὅτι τὸν ποιητὴν μᾶλλον τῶν μύθων εἶναι δεῖ ποιητὴν ἢ τῶν μέτρων, ὅσῳ ποιητὴς κατὰ τὴν μίμησίν ἐστι, μιμεῖται δὲ τὰς πράξεις.	‏فظاهر من هذه ان شاعر خاصة يكون شاعر الخرافات والاوزان بمبلغ ما يكون شاعرا بالتشبيه والمحاكاة وهو يشبه ويحاكى الاعمال والافعال الارادية	1:1	High	Moderate	poet of plots more than of meters
9.12	Κἂν ἄρα συμβῇ γενόμενα ποιεῖν, οὐθὲν ἧττον ποιητής ἐστιν· τῶν γὰρ γενομένων ἔνια οὐδὲν κωλύει τοιαῦτα εἶναι οἷα ἂν εἰκὸς γενέσθαι καὶ δυνατὰ γενέσθαι, καθ᾿ ὃ ἐκεῖνος αὐτῶν ποιητής ἐστιν.	‏وان عرض ان يعمل شى فى التى قد كانت فليس هو فى ذلك شاعرا بالدون من قبل ان التى كانت منها ما لا مانع يمنع يكون حالها فى ذلك مثلا كالتى هى موضوعة بان توجد كحال ذاك الذى هو شاعرها	1:1	High	Moderate	
9.13	Τῶν δὲ ἁπλῶν μύθων καὶ πράξεων αἱ ἐπεισοδιώδεις εἰσὶ χείρισται.	‏واما للخرافات المعلولة فالافعال الارادية ايضا معلولة	1:1	Medium	Moderate	epeisodiōdeis ('episodic')→maʿlūla(?)
9.14	Λέγω δ᾿ ἐπεισοδιώδη μῦθον, ἐν ᾧ τὰ ἐπεισόδια μετ᾿ ἄλληλα οὔτ᾿ εἰκὸς οὔτ᾿ ἀνάγκη εἶναι.	‏واعنى بالخرافة المدخولة المعلولة تلك التى المعلولين على الاضطرار واحد بعد اخر ليس يكون من الضرورة ولا على طريق الحق	1:1	High	Moderate	def. of episodic plot
9.15	Τοιαῦται δὲ ποιοῦνται ὑπὸ μὲν τῶν φαύλων ποιητῶν δι᾿ αὐτούς, ὑπὸ δὲ τῶν ἀγαθῶν διὰ τοὺς ὑποκριτάς· ἀγωνίσματα γὰρ ποιοῦντες, καὶ παρὰ τὴν δύναμιν παρατείναντες μῦθον, πολλάκις διαστρέφειν ἀναγκάζονται τὸ ἐφεξῆς.	‏ومثل بعمل اما من الشعر فمن المزورين المزيفين منهم بسببها واما الشعر الاخيار فبسبب المنافقين والمرايين واما وعند ما يعملون الجهادات فليس يمتدون بالخرافة فوق الطاقة واحيانا وكثير ما قد يضطرون الى ان يردوا ويعدوا الخرافة التى ٮٮـقا من ان قبل	1:1	Medium	Severe	ὑποκριταί→munāfiqīn again; garbled
9.16	Ἐπεὶ δὲ οὐ μόνον τελείας ἐστὶ πράξεως ἡ μίμησις ἀλλὰ καὶ φοβερῶν καὶ ἐλεεινῶν, ταῦτα δὲ γίνεται καὶ μάλιστα, καὶ μᾶλλον ὅταν γένηται παρὰ τὴν δόξαν, δι᾿ ἄλληλα· τὸ γὰρ θαυμαστὸν οὕτως ἕξει μᾶλλον ἢ εἰ ἀπὸ τοῦ αὐτομάτου καὶ τῆς τύχης, ἐπεὶ καὶ τῶν ἀπὸ τύχης ταῦτα θαυμασιώτατα δοκεῖ, ὅσα ὥσπερ ἐπίτηδες φαίνεται γεγονέναι, οἷον ὡς ὁ ἀνδριὰς ὁ τοῦ Μίτυος ἐν Ἄργει ἀπέκτεινε τὸν αἴτιον τοῦ θανάτου τῷ Μίτυϊ, θεωροῦντι ἐμπεσών· ἔοικε γὰρ τὰ τοιαῦτα οὐκ εἰκῇ γενέσθαι, ὥστε ἀνάγκη τοὺς τοιούτους εἶναι καλλίους μύθους.	‏التشبيه والمحاكاة انما هى لعمل مستكمل فقل لكنها للاشيا المخوفة المهولة وللاشيا لحرٮٯه الٮوحيد وهذه تكون خاصية اكثر مما تكون من الٮنا وبعض بالبعض وذلك ان التى هى عجيبة فهكذى فليكن حالها خاصة اكثر من تلك التى هى من تلقا نفسها ومن ما يتفق من قبل ان التى هى من الاتفاق قد يظن بها هى ايضا انها عجيبة اكثر بمبلغ ما ترى انها تكون دفعة بمنزلة حال التى لاندراس بن ميطياوس وهى انه كان قتل فى ارغوس لذلك الذى كان سبب مومٮٮه مياطياس عند ما راه وقد سقط وذلك انه يشتبه هى هذه الاشيا التى تجرى هذا المجرى انها ليس تكون باطلا ولا خرافا حتى يلزم ضرورة ان تكون هذه التى على هذا النحو خرافات جيدة	1:1	Medium	Severe	statue of Mitys at Argos: andrias→'lāndrās'(read as name); Argos=ارغوس; partly garbled
— CHAPTER 10  (Greek 3 · Arabic 3 units) —						
10.1	Εἰσὶ δὲ τῶν μύθων οἱ μὲν ἁπλοῖ οἱ δὲ πεπλεγμένοι· καὶ γὰρ αἱ πράξεις, ὧν μιμήσεις οἱ μῦθοί εἰσιν, ὑπάρχουσιν εὐθὺς οὖσαι τοιαῦται.	‏وقد يوجد مركبة وذلك ان الاعمال هى ٮسببها ومحاكاة للاعمال بتوسط الخرافات	1:1	Medium	Moderate	simple/complex plots; 'simple' member weak in Arabic
10.2	Λέγω δὲ ἁπλῆν μὲν πρᾶξιν, ἧς γινομένης, ὥσπερ ὥρισται, συνεχοῦς καὶ μιᾶς ἄνευ περιπετείας ἢ ἀναγνωρισμοῦ ἡ μετάβασις γίνεται, πεπλεγμένην δέ, ἐξ ἧς μετ᾿ ἀναγνωρισμοῦ ἢ περιπετείας ἢ ἀμφοῖν ἡ μετάβασίς ἐστιν.	‏اعنى بالعمل البسيط لذاك الذى عند ما يكون هى كما حدث هى واحدة متصلة يكون الانتقال بلا الٮرويرا والاستدلال والمركبات تعد تلك التى يكون الانتقال فيها مع الاستدلال او الاراده او مع كليهما	1:1	High	Moderate	peripeteia=al-…rūrā (translit, garbled); anagnorismos=istidlāl
10.3	Ταῦτα δὲ δεῖ γίνεσθαι ἐξ αὐτῆς τῆς συστάσεως τοῦ μύθου, ὥστε ἐκ τῶν προγεγενημένων συμβαίνειν ἢ ἐξ ἀνάγκης ἢ κατὰ τὸ εἰκὸς γίνεσθαι ταῦτα· διαφέρει γὰρ πολὺ τὸ γίνεσθαι τάδε διὰ τάδε ἢ μετὰ τάδε.	‏ونقول ان هذه تكون من قوام الخرافة نفسها حتى انها من الاشيا التى تقدم كونها وذلك اما من الضرورة واما على طريق الحقيقة وبين ان يكون هذه من اجل هذه وبين ان تكون بعد هذه فرق كبير	1:1	High	Clean	dia tade / meta tade = min ajli hādhihi / baʿda hādhihi
— CHAPTER 11  (Greek 10 · Arabic 10 units) —						
11.1	Ἔστι δὲ περιπέτεια μὲν ἡ εἰς τὸ ἐναντίον τῶν πραττομένων μεταβολή, καθάπερ εἴρηται· καὶ τοῦτο δέ, ὥσπερ λέγομεν, κατὰ τὸ εἰκὸς ἢ ἀναγκαῖον, ὥσπερ ἐν τῷ Οἰδίποδι ἐλθὼν ὡς εὐφρανῶν τὸν Οἰδίπουν καὶ ἀπαλλάξων τοῦ πρὸς τὴν μητέρα φόβου, δηλώσας ὃς ἦν, τοὐναντίον ἐποίησεν.	‏والادراه هى التغير الى مضادة الاعمال التى يعملون كما قلنا وعلى طريق الحق وبطريق الضرورة مثل ما انه لما جا الى اريفوس على انه يفرح باريفوس وينقذه من خوف وفزع امه فانه اتى بالشعر على ضد ما عمل	1:1	High	Moderate	peripeteia=al-idāra; Oedipus=arīfūs (garbled)
11.2	Καὶ ἐν τῷ Λυγκεῖ ὁ μὲν ἀγόμενος ὡς ἀποθανούμενος, ὁ δὲ Δαναὸς ἀκολουθῶν ὡς ἀποκτενῶν· τὸν μὲν συνέβη ἐκ τῶν πεπραγμένων ἀποθανεῖν, τὸν δὲ σωθῆναι.	‏وهو انه غير ما كان يجا به فى محنة من قبل انه كان مزمعا ان يموت فان اناوس لما جا خلفه ليقتله اما هذا على ما ذكر قيما كتب به من ذلك عرض له ان يموت واما ذاك فعرض له انه سلم ونجا	1:1	Medium	Severe	Lynceus title lost; Danaos=anāwus; corrupt
11.3	Ἀναγνώρισις δ᾿ ἐστίν, ὥσπερ καὶ τοὔνομα σημαίνει, ἐξ ἀγνοίας εἰς γνῶσιν μεταβολὴ ἢ εἰς φιλίαν ἢ ἔχθραν τῶν πρὸς εὐτυχίαν ἢ δυστυχίαν ὡρισμένων.	‏واما الاستدلال كما على ما يدل ويكنى الاسم نفسه فهو العبور من لا معرفة الى معرفة التى هى نحو الاشيا التى تحدد بالفلاح والنجح او برداه البخت والعداوة لها	1:1	High	Moderate	anagnorisis=istidlāl; philian perhaps dropped
11.4	Καλλίστη δὲ ἀναγνώρισις, ὅταν ἅμα περιπέτειαι γίνωνται, οἷον ἔχει ἡ ἐν τῷ Οἰδίποδι.	‏والاستدلال الحسن يكون متى كانت الاراده دفعة بمنزلة ما يوجد فى سيرة اوديفس وتدبيره	1:1	High	Moderate	Oedipus=awdīfs (≠ 11.1's arīfūs — inconsistent translit)
11.5	Εἰσὶ μὲν οὗν καὶ ἄλλαι ἀναγνωρίσεις· καὶ γὰρ πρὸς ἄψυχα καὶ τὰ τυχόντα ἔστιν ὅτε, ὥσπερ εἴρηται, συμβαίνει, καὶ εἰ πέπραγέ τις ἢ μὴ πέπραγεν, ἔστιν ἀναγωρίσαι· ἀλλ᾿ ἡ μάλιστα τοῦ μύθου καὶ ἡ μάλιστα τῆς πράξεως ἡ εἰρημένη ἐστίν.	‏وقد يوجد للاستدلال اصناف اخر وذلك انها قد توجد عند غير المتنفسة وان كان الانسان يعمل **ا وان لم يكن يعمل شيا فانه يعرض له الاستدلال على الحالين لكن هذه منها خرافة خاصة وهذه هى خاصة عمل اعنى ما قيل	1:1	High	Moderate	apsycha=ghayr al-mutanaffisa; lacuna
11.6	Ἡ γὰρ τοιαύτη ἀναγνώρισις καὶ περιπέτεια ἢ ἔλεον ἕξει ἢ φόβον, οἵων πράξεων ἡ τραγῳδία μίμησις ὑπόκειται.	‏ومثل هذا الاستدلال والاراده اما يكون معه رحمة واما خوف مثل ما انه وضع ان العمل المديحى هو التشبيه والمحاكاة	1:1	High	Moderate	tragedy→al-ʿamal al-madīḥī
11.7	Ἔτι δὲ καὶ τὸ ἀτυχεῖν καὶ τὸ εὐτυχεῖν ἐπὶ τῶν τοιούτων συμβήσεται.	‏وايضا والفلاح والنجح والافلاح ونجح فى تعرضان	1:1	Medium	Moderate	short/garbled
11.8	Ἐπεὶ δ᾿ ἡ ἀναγνώρισις τινῶν ἐστὶν ἀναγνώρισις, αἱ μὲν θατέρου πρὸς τὸν ἕτερον μόνον, ὅταν ᾖ δῆλος ἕτερος τίς ἐστιν, ὁτὲ δ᾿ ἀμφοτέρους δεῖ ἀναγνωρίσαι, οἷον ἡ μὲν Ἰφιγένεια τῷ Ὀρέστῃ ἀνεγνωρίσθη ἐκ τῆς πέμψεως τῆς ἐπιστολῆς, ἐκείνῳ δὲ πρὸς τὴν Ἰφιγένειαν ἄλλης ἔδει ἀναγνωρίσεως.	‏من قبل الاستدلال لقوم ما هو استدلال من انسان ما الى رفيقه وهو يكون عند ما يعرف ذاك الامر هو فقط واما متى كان يجب ان يكون كليهما يسدلان ويتعرفان فان مثل ما استدلت ووقفت المراة المسماة افاغانيا على اورسطس من رانفاذ رسالته اما ذاك فكان يحتاج الى الاستدلال وتعرف اخر اعنى فى امر افاغانيا	1:1	High	Moderate	Iphigenia=afāghāniyā; Orestes=ursṭus
11.9	Δύο μὲν οὖν τοῦ μύθου μέρη περὶ ταῦτ᾿ ἐστί, περιπέτεια καὶ ἀναγνώρισις, τρίτον δὲ πάθος.	‏فهاتان اللتان خبرنا بهما هما جزو الحرا** وحكاية الحديث اعنى الاستدلال والادارة والجزو الـ*** هو انفعال الالم والتاثير	1:1	High	Moderate	two parts: peripeteia+anagnorisis; lacuna
11.10	Τούτων δὲ περιπέτεια μὲν καὶ ἀναγνώρισις εἴρηται, πάθος δ᾿ ἐστὶ πρᾶξις φθαρτικὴ ἢ ὀδυνηρά, οἷον οἵ τε ἐν τῷ φανερῷ θάνατοι καὶ αἱ περιωδυνίαι καὶ τρώσεις καὶ ὅσα τοιαῦτα.	‏والالم والتاثير هو عمل مفسد او موجع بمنزلة الذين يصيبهم مصايب من الصوت والعذاب والشقا واشباه هذه	1:1	High	Moderate	pathos=infiʿāl al-alam; deaths/woundings
— CHAPTER 12  (Greek 3 · Arabic 3 units) —						
12.1	Μέρη δὲ τραγῳδίας, οἷς μὲν ὡς εἴδεσι δεῖ χρῆσθαι, πρότερον εἴπομεν· κατὰ δὲ τὸ ποσόν, καὶ εἰς ἃ διαιρεῖται κεχωρισμένα, τάδε ἐστί, πρόλογος ἐπεισόδιον ἔξοδος χορικόν, καὶ τοῦτου τὸ μὲν πάροδος τὸ δὲ στάσιμον, κοινὰ μὲν ἁπάντων ταῦτα, ἴδια δὲ τὰ ἀπὸ τῆς σκηνῆς καὶ κόμμοι.	‏واما اجزا صناعة المديح فينبغى ان يستعمل بعضها فكما يستعمل الانواع واما كيف ذلك فقد خبرنا فيما تقدم واما بحسب الكمية فاى الاشيا ينقسم فنحن مخبرون الان وهذه الاجزا هى ٮقدمة الخطب والمدخل ومخرج الرقص الذى للصفوف ولهذا نفسه هو مجاز وعبور وايضا المقام وهذه كلها هى عامية المديح فالتى من المسكن واصناف	1:1	High	Moderate	prologos=taqdimat al-khuṭab; episodion=al-madkhal; exodos=makhraj; choron=al-ṣufūf; parodos=majāz; stasimon=al-maqām; skēnē=al-maskan
12.2	Ἔστι δὲ πρόλογος μὲν μέρος ὅλον τραγῳδίας τὸ πρὸ χοροῦ παρόδου, ἐπεισόδιον δὲ μέρος ὅλον τραγῳδίας τὸ μεταξὺ ὅλων χορικῶν μελῶν, ἔξοδος δὲ μέρος ὅλον τραγῳδίας μεθ᾿ ὃ οὐκ ἔστι χοροῦ μέλος, χορικοῦ δὲ πάροδος μὲν ἡ πρώτη λέξις ὅλου χοροῦ, στάσιμον δὲ μέλος χοροῦ τὸ ἄνευ ἀναπαίστου καὶ τροχαίου, κόμμος δὲ θρῆνος κοινὸς χοροῦ καὶ ἀπὸ σκηνῆς.	‏ومجاز الصفوف والمدخل ايضا هو جزو كلى من صناعة المديح وهو وسط نغمة صوت جميع الصف والمخرج ايضا هو جزو كلى من اجزا صناعة المديح وهو الذى لا يكون للصف بعده صوتا واما مجاز الصف فهو المقولة الاولى الذى بجميع الصف واما الوفقة فهى الجزو من الٮصڡ الذى هو بلا وزن الذى لانافاسطس وطروخاس واما القينة فهى الانتحاب العام للصف الذى من المسكن	1:1	High	Moderate	definitions of the parts; kommos=al-qayna=al-intiḥāb (lament)
